Crop,Question,Answer,text,clean_text,Cluster
maize,What fertilizer can I use for spraying maize plant?,NPK/Urea,What fertilizer can I use for spraying maize plant? NPK/Urea,fertilizer use spraying maize plant npkurea,4
cassava,What fertilizer can I use in my cassava?,Nitrogen based fertilisers,What fertilizer can I use in my cassava? Nitrogen based fertilisers,fertilizer use cassava nitrogen based fertiliser,4
beans,What fertilizer is suitable for planting beans?,NPK and phosphate fertilizers,What fertilizer is suitable for planting beans? NPK and phosphate fertilizers,fertilizer suitable planting bean npk phosphate fertilizer,4
beans,What fertilizer is used for planting beans?,NPK and phosphate fertilizers,What fertilizer is used for planting beans? NPK and phosphate fertilizers,fertilizer used planting bean npk phosphate fertilizer,4
cassava,What food value Rich with cassava,Carbohydrates,What food value Rich with cassava Carbohydrates,food value rich cassava carbohydrate,4
beans,What food value do we get from beans,Proteins and calories,What food value do we get from beans Proteins and calories,food value get bean protein calorie,3
general,What is Artificial fertilizer?,Fertilizer produced using chemical process,What is Artificial fertilizer? Fertilizer produced using chemical process,artificial fertilizer fertilizer produced using chemical process,4
beans,What is Halo blight,Disease in beans,What is Halo blight Disease in beans,halo blight disease bean,3
general,What is Hypogeal germination?,Where shoots come out and endosperm remains underground,What is Hypogeal germination? Where shoots come out and endosperm remains underground,hypogeal germination shoot come endosperm remains underground,4
general,What is Name given to Agriculture implement commonly used for sowing the seeds?,A planter,What is Name given to Agriculture implement commonly used for sowing the seeds? A planter,name given agriculture implement commonly used sowing seed planter,4
general,What is Soil profile?,The arrangement of soil layers,What is Soil profile? The arrangement of soil layers,soil profile arrangement soil layer,2
general,What is Soil sampling?,Taking soil samples from a defined choice of land,What is Soil sampling? Taking soil samples from a defined choice of land,soil sampling taking soil sample defined choice land,2
general,What is artificial fertilizer?,Plant nutrients produced using chemical processes,What is artificial fertilizer? Plant nutrients produced using chemical processes,artificial fertilizer plant nutrient produced using chemical process,4
general,What is artificial manure,The one produced off the farm,What is artificial manure The one produced off the farm,artificial manure one produced farm,4
beans,What is bean rust?,A fungal disease,What is bean rust? A fungal disease,bean rust fungal disease,3
cassava,What is biological control of pests in my cassava crops?,Using biological agents to eat the pests,What is biological control of pests in my cassava crops? Using biological agents to eat the pests,biological control pest cassava crop using biological agent eat pest,4
cassava,What is biotic causes of cassava disease?,Viruses and bacteria,What is biotic causes of cassava disease? Viruses and bacteria,biotic cause cassava disease virus bacteria,0
cassava,What is cassava bacterial blight,Xanthomonas axonopodis pv. manihotis is the bacteria or pathogen that causes bacterial blight of cassava.,What is cassava bacterial blight Xanthomonas axonopodis pv. manihotis is the bacteria or pathogen that causes bacterial blight of cassava.,cassava bacterial blight xanthomonas axonopodis pv manihotis bacteria pathogen cause bacterial blight cassava,0
general,What is cereal crop?,A crop that produces grain,What is cereal crop? A crop that produces grain,cereal crop crop produce grain,4
general,What is commercial farming,Farming for sale,What is commercial farming Farming for sale,commercial farming farming sale,4
general,What is contour ploughing," Ploughing perpendicular to the slope, alongside contour lines","What is contour ploughing  Ploughing perpendicular to the slope, alongside contour lines",contour ploughing ploughing perpendicular slope alongside contour line,4
general,What is crop rotation?,A management practice of Growing different crops on the same field in consecutive seasosns.,What is crop rotation? A management practice of Growing different crops on the same field in consecutive seasosns.,crop rotation management practice growing different crop field consecutive seasosns,4
general,What is cut worms,Larvae of some moths,What is cut worms Larvae of some moths,cut worm larva moth,4
general,What is cyanide content?,Amount of bitterness of cassava,What is cyanide content? Amount of bitterness of cassava,cyanide content amount bitterness cassava,4
general,What is difference between terracing and mulching,Terracing is making bands to control soil erosion while mulching is covering the soil,What is difference between terracing and mulching Terracing is making bands to control soil erosion while mulching is covering the soil,difference terracing mulching terracing making band control soil erosion mulching covering soil,2
general,What is dry weight in plants?,The weight after removing all the water,What is dry weight in plants? The weight after removing all the water,dry weight plant weight removing water,4
general,What is epigeal germination,Where cotyledons comes out of ground,What is epigeal germination Where cotyledons comes out of ground,epigeal germination cotyledon come ground,4
general,What is fertilizer?,A chemical that helps plants grow better and perform better,What is fertilizer? A chemical that helps plants grow better and perform better,fertilizer chemical help plant grow better perform better,4
maize,What is flowering in maize plant.,Development of flowers,What is flowering in maize plant. Development of flowers,flowering maize plant development flower,4
general,What is flowering plants,The time point when flowers begin to show on a plant,What is flowering plants The time point when flowers begin to show on a plant,flowering plant time point flower begin show plant,4
general,What is foliage?,Vegetative part of the plant,What is foliage? Vegetative part of the plant,foliage vegetative part plant,4
general,What is garden preparation,Making sure the garden is fine,What is garden preparation Making sure the garden is fine,garden preparation making sure garden fine,4
general,What is germination.,The process by which a seed grows from an inert stage into an embryo and thereafter a full plant,What is germination. The process by which a seed grows from an inert stage into an embryo and thereafter a full plant,germination process seed grows inert stage embryo thereafter full plant,3
general,What is hypogeal germination,Where cotyledons do not come of ground,What is hypogeal germination Where cotyledons do not come of ground,hypogeal germination cotyledon come ground,4
general,What is importance of crop rotation?,To increase yields and control diseases and pests,What is importance of crop rotation? To increase yields and control diseases and pests,importance crop rotation increase yield control disease pest,1
maize,What is importance of pollination to maize plant?,Allows for seed development,What is importance of pollination to maize plant? Allows for seed development,importance pollination maize plant allows seed development,4
beans,What is importance of nitrogen to bean plants,It allows for vegetative growth,What is importance of nitrogen to bean plants It allows for vegetative growth,importance nitrogen bean plant allows vegetative growth,3
general,What is inter cropping in agriculture,Growing the different crop in the same piece of land,What is inter cropping in agriculture Growing the different crop in the same piece of land,inter cropping agriculture growing different crop piece land,4
general,What is inter cropping?,mixing crops together,What is inter cropping? mixing crops together,inter cropping mixing crop together,4
general,What is land maintenance,Making sure land remains in its natural state,What is land maintenance Making sure land remains in its natural state,land maintenance making sure land remains natural state,4
general,What is land preparation?,Making the land ready to receive crops,What is land preparation? Making the land ready to receive crops,land preparation making land ready receive crop,4
general,What is leguminous plant,One that has seeds with two cotyledons and can fix nitrogen,What is leguminous plant One that has seeds with two cotyledons and can fix nitrogen,leguminous plant one seed two cotyledon fix nitrogen,3
general,What is macro organism?,A big organism,What is macro organism? A big organism,macro organism big organism,4
general,What is meant by Agricultural implements?,Tools used in Agriculture,What is meant by Agricultural implements? Tools used in Agriculture,meant agricultural implement tool used agriculture,4
maize,What is meant by maize stem borers,Insects that bore the stem,What is meant by maize stem borers Insects that bore the stem,meant maize stem borer insect bore stem,4
general,What is meant by the term metrazin?,A herbicide used to control weeds,What is meant by the term metrazin? A herbicide used to control weeds,meant term metrazin herbicide used control weed,1
general,What is meant by the term seedlings,Young plants that can be planted in the garden,What is meant by the term seedlings Young plants that can be planted in the garden,meant term seedling young plant planted garden,4
general,What is moisture,Water in air form,What is moisture Water in air form,moisture water air form,4
general,What is monocotyledonous plant?,Plants with one cotyledons,What is monocotyledonous plant? Plants with one cotyledons,monocotyledonous plant plant one cotyledon,4
general,What is mono-culture,Growing the same crop in the same piece of land,What is mono-culture Growing the same crop in the same piece of land,monoculture growing crop piece land,4
general,What is mulching?,Covering the soil with grass or any mulch,What is mulching? Covering the soil with grass or any mulch,mulching covering soil grass mulch,2
general,What is nitrogenous fixing bacteria,Bacteria adding nitrogen in soil,What is nitrogenous fixing bacteria Bacteria adding nitrogen in soil,nitrogenous fixing bacteria bacteria adding nitrogen soil,2
general,What is nursery bed,The prepared place where the process by which a seed grows from an inert stage into an embryo and thereafter a full plant,What is nursery bed The prepared place where the process by which a seed grows from an inert stage into an embryo and thereafter a full plant,nursery bed prepared place process seed grows inert stage embryo thereafter full plant,3
general,What is nutrients?,Materials that improve plant nutrition,What is nutrients? Materials that improve plant nutrition,nutrient material improve plant nutrition,4
general,What is organic fertilizer,Fertiliser from natural sources with no addditives,What is organic fertilizer Fertiliser from natural sources with no addditives,organic fertilizer fertiliser natural source addditives,4
general,What is organic fertilizer?,Organic fertilizer is produced by compositing home and agricultural waste and applied as per a crop recommendation,What is organic fertilizer? Organic fertilizer is produced by compositing home and agricultural waste and applied as per a crop recommendation,organic fertilizer organic fertilizer produced compositing home agricultural waste applied per crop recommendation,4
general,What is pest.,Any organisms that attacks and depends on the crop while stopping its growth,What is pest. Any organisms that attacks and depends on the crop while stopping its growth,pest organism attack depends crop stopping growth,4
general,What is photosynthesis?,The manufacture of food by plants,What is photosynthesis? The manufacture of food by plants,photosynthesis manufacture food plant,4
general,What is pollination ?,Pollination is the transfer of pollen from anther to stigma,What is pollination ? Pollination is the transfer of pollen from anther to stigma,pollination pollination transfer pollen anther stigma,4
general,What is propagation?,Making new plant materials,What is propagation? Making new plant materials,propagation making new plant material,4
general,What is pruning crops?,Removing excess foliage,What is pruning crops? Removing excess foliage,pruning crop removing excess foliage,4
general,What is seed,A part of the plant that becomes another plant,What is seed A part of the plant that becomes another plant,seed part plant becomes another plant,3
general,What is seed dressing,Applying chemicals like quintizone so that seeds are not affected by conditions when planted,What is seed dressing Applying chemicals like quintizone so that seeds are not affected by conditions when planted,seed dressing applying chemical like quintizone seed affected condition planted,3
general,What is seed dressing in Crop production,Seed dressing is application of chemical agents on the seed and germination promoters to allow for vigoruos germination and hence plant growth,What is seed dressing in Crop production Seed dressing is application of chemical agents on the seed and germination promoters to allow for vigoruos germination and hence plant growth,seed dressing crop production seed dressing application chemical agent seed germination promoter allow vigoruos germination hence plant growth,3
general,What is seed sowing?,Planting seeds,What is seed sowing? Planting seeds,seed sowing planting seed,3
general,What is seed?,Any material that can grow into anew plant,What is seed? Any material that can grow into anew plant,seed material grow anew plant,3
general,What is seedlings?,Young plants that can be planted in the garden,What is seedlings? Young plants that can be planted in the garden,seedling young plant planted garden,4
general,What is sexual reproduction in Crops?,The movement of pollen to stigma to be joined to ovules,What is sexual reproduction in Crops? The movement of pollen to stigma to be joined to ovules,sexual reproduction crop movement pollen stigma joined ovule,4
general,What is soil fertility?,The amount of fertilizer components in soil to support plant growth,What is soil fertility? The amount of fertilizer components in soil to support plant growth,soil fertility amount fertilizer component soil support plant growth,2
general,What is soil profile,Arrangement of soil layers,What is soil profile Arrangement of soil layers,soil profile arrangement soil layer,2
general,What is soil sampling?,Picking of samples of soil to test it,What is soil sampling? Picking of samples of soil to test it,soil sampling picking sample soil test,2
general,What is soil texture,Arrangement of soil layers,What is soil texture Arrangement of soil layers,soil texture arrangement soil layer,2
general,What is soil.,Soil is a medium for plant growth,What is soil. Soil is a medium for plant growth,soil soil medium plant growth,2
general,What is solution to loss of nitrogen in soil,Add nitrogen fertilizers,What is solution to loss of nitrogen in soil Add nitrogen fertilizers,solution loss nitrogen soil add nitrogen fertilizer,2
beans,What is spacing of beans?,60cm (between row) and 20cm (between plants),What is spacing of beans? 60cm (between row) and 20cm (between plants),spacing bean cm row cm plant,3
cassava,What is spacing of cassava?,1 by 1 meters is the suitable spacing,What is spacing of cassava? 1 by 1 meters is the suitable spacing,spacing cassava meter suitable spacing,4
maize,What is spacing of maize?,30X70cm,What is spacing of maize? 30X70cm,spacing maize xcm,4
general,What is the advantage of Crop rotation?,Improved yields,What is the advantage of Crop rotation? Improved yields,advantage crop rotation improved yield,4
maize,What is the advantage of growing Maize?,It provides calories,What is the advantage of growing Maize? It provides calories,advantage growing maize provides calorie,4
general,What is the advantages of Crop rotation?,It improves soil properties and yields,What is the advantages of Crop rotation? It improves soil properties and yields,advantage crop rotation improves soil property yield,2
cassava,What is the best cassava variety for eastern region?,NAROCASS 1,What is the best cassava variety for eastern region? NAROCASS 1,best cassava variety eastern region narocass,4
general,What is the best method of controlling Nut grass in the garden?,Use the right herbicide which is recommended,What is the best method of controlling Nut grass in the garden? Use the right herbicide which is recommended,best method controlling nut grass garden use right herbicide recommended,1
cassava,What is the best quality of cassava to plant?,Cassava that is high yielding and disease resistant and tolerant,What is the best quality of cassava to plant? Cassava that is high yielding and disease resistant and tolerant,best quality cassava plant cassava high yielding disease resistant tolerant,0
cassava,What is the best season for planting cassava?,Beginning of any rainy season,What is the best season for planting cassava? Beginning of any rainy season,best season planting cassava beginning rainy season,4
cassava,What is the best size of cassava stem to be planted?,10-15 cm,What is the best size of cassava stem to be planted? 10-15 cm,best size cassava stem planted cm,4
maize,What is the best soil for planting maize,"Well drained, fertile loam soils that are deep enough to support plant growth.","What is the best soil for planting maize Well drained, fertile loam soils that are deep enough to support plant growth.",best soil planting maize well drained fertile loam soil deep enough support plant growth,2
cassava,What is the best way of storing cassava,Store in a cool dry place,What is the best way of storing cassava Store in a cool dry place,best way storing cassava store cool dry place,4
general,What is the characteristic of loam soil,High fertility,What is the characteristic of loam soil High fertility,characteristic loam soil high fertility,2
general,What is the characteristic of sandy soil?,Loose particles and poor water retention,What is the characteristic of sandy soil? Loose particles and poor water retention,characteristic sandy soil loose particle poor water retention,2
cassava,What is the correct spacing cassava,1 by 1 meters is the suitable spacing,What is the correct spacing cassava 1 by 1 meters is the suitable spacing,correct spacing cassava meter suitable spacing,4
cassava,What is the correct spacing for planting cuttings?,1meter X 1meter,What is the correct spacing for planting cuttings? 1meter X 1meter,correct spacing planting cutting meter x meter,4
cassava,What is the correct weather for planting cassava?,Rainy weather,What is the correct weather for planting cassava? Rainy weather,correct weather planting cassava rainy weather,4
general,What is the difference between fertilizer and manure.,One is artificial one is from natural sources,What is the difference between fertilizer and manure. One is artificial one is from natural sources,difference fertilizer manure one artificial one natural source,4
general,What is the different between fertilizer and manure ?,Fertilizer from natural sources with no additives is manure,What is the different between fertilizer and manure ? Fertilizer from natural sources with no additives is manure,different fertilizer manure fertilizer natural source additive manure,4
cassava,What is the effect of mixing Cassava plants with other Crops in the same garden?,Cassava can compete with them for nutrients and resources,What is the effect of mixing Cassava plants with other Crops in the same garden? Cassava can compete with them for nutrients and resources,effect mixing cassava plant crop garden cassava compete nutrient resource,4
general,What is the effect of phytopathogenic fungi to crops,They control fungal infections,What is the effect of phytopathogenic fungi to crops They control fungal infections,effect phytopathogenic fungi crop control fungal infection,4
cassava,What is the function of nitrogen and phosphorus to cassava plants?,Promoting vegetative growth,What is the function of nitrogen and phosphorus to cassava plants? Promoting vegetative growth,function nitrogen phosphorus cassava plant promoting vegetative growth,4
cassava,What is the importance of bees to cassava leaves?,Pollination,What is the importance of bees to cassava leaves? Pollination,importance bee cassava leaf pollination,0
beans,What is the importance of carrying out irrigation to my bean garden?,Stopping drought effects,What is the importance of carrying out irrigation to my bean garden? Stopping drought effects,importance carrying irrigation bean garden stopping drought effect,3
general,What is the importance of crop rotation?,Improving fertility,What is the importance of crop rotation? Improving fertility,importance crop rotation improving fertility,4
maize,What is the importance of laundry my maize?,A source of food security and income security,What is the importance of laundry my maize? A source of food security and income security,importance laundry maize source food security income security,4
general,What is the importance of manure in soil and water concentration?,Increases soil fertility,What is the importance of manure in soil and water concentration? Increases soil fertility,importance manure soil water concentration increase soil fertility,2
general,What is the importance of mulching garden with dry leaves.,Controls weeds/ improves on soil water retention,What is the importance of mulching garden with dry leaves. Controls weeds/ improves on soil water retention,importance mulching garden dry leaf control weed improves soil water retention,2
cassava,What is the importance of planting Cassava?,A source of food security and income security,What is the importance of planting Cassava? A source of food security and income security,importance planting cassava source food security income security,4
general,What is the importance of proper spacing,Proper spacing allows crops to use nutrients maximally without competition and hence big yields,What is the importance of proper spacing Proper spacing allows crops to use nutrients maximally without competition and hence big yields,importance proper spacing proper spacing allows crop use nutrient maximally without competition hence big yield,4
general,What is the most effective practice used in conserving water in the Soil?,Climate smart technologies,What is the most effective practice used in conserving water in the Soil? Climate smart technologies,effective practice used conserving water soil climate smart technology,2
general,What is the most suitable method of reclamation of swamps?,Using remediating crops,What is the most suitable method of reclamation of swamps? Using remediating crops,suitable method reclamation swamp using remediating crop,4
maize,What is the proper spacing of maize,"Depending on variety, it can be 40cm by 35cm or 75cm by 25cm.","What is the proper spacing of maize Depending on variety, it can be 40cm by 35cm or 75cm by 25cm.",proper spacing maize depending variety cm cm cm cm,4
beans,What is the proper spacing of planting beans,60cm (between row) and 20cm (between plants),What is the proper spacing of planting beans 60cm (between row) and 20cm (between plants),proper spacing planting bean cm row cm plant,3
maize,What is the reasonable seeds of maize in one hole when planting?,One or two,What is the reasonable seeds of maize in one hole when planting? One or two,reasonable seed maize one hole planting one two,3
cassava,What is the spacing for Made 14 cassava,1meter X 1meter,What is the spacing for Made 14 cassava 1meter X 1meter,spacing made cassava meter x meter,4
beans,What is the spacing of beans?,60cm (between row) and 20cm (between plants),What is the spacing of beans? 60cm (between row) and 20cm (between plants),spacing bean cm row cm plant,3
cassava,What is the spacing of cassava,1 by 1 meters is the suitable spacing,What is the spacing of cassava 1 by 1 meters is the suitable spacing,spacing cassava meter suitable spacing,4
beans,What is the type of germination in bean seeds?,Apogeal,What is the type of germination in bean seeds? Apogeal,type germination bean seed apogeal,3
cassava,What is the use of Cassava to people growing it?,Food and income security,What is the use of Cassava to people growing it? Food and income security,use cassava people growing food income security,4
general,What is threshing?,Removing the seed from straw,What is threshing? Removing the seed from straw,threshing removing seed straw,3
general,What is timely weeding?,Removal of unwanted plants from garden,What is timely weeding? Removal of unwanted plants from garden,timely weeding removal unwanted plant garden,4
general,What is vector,Organism that carries disease and is possibly a pest,What is vector Organism that carries disease and is possibly a pest,vector organism carry disease possibly pest,4
general,What is viability?,The ability to survive or live successfully,What is viability? The ability to survive or live successfully,viability ability survive live successfully,4
general,What is weeding?,Removal of unwanted plants from garden,What is weeding? Removal of unwanted plants from garden,weeding removal unwanted plant garden,4
general,What is weeds?,Unwanted plants in the garden,What is weeds? Unwanted plants in the garden,weed unwanted plant garden,4
maize,What maize variety is resistant to pest and disease?,Most improved varieties,What maize variety is resistant to pest and disease? Most improved varieties,maize variety resistant pest disease improved variety,1
general,What makes acidic soil have concentration of hydrogen ions?,Increasing soil pH,What makes acidic soil have concentration of hydrogen ions? Increasing soil pH,make acidic soil concentration hydrogen ion increasing soil ph,2
beans,What makes bean pod empty,Poor seeding,What makes bean pod empty Poor seeding,make bean pod empty poor seeding,3
beans,What makes bean pod to dry before maturity,Bacterial diseases and anthracnose,What makes bean pod to dry before maturity Bacterial diseases and anthracnose,make bean pod dry maturity bacterial disease anthracnose,3
beans,What makes bean pod to have very small seeds,Poor fertility and diseases and pests attack,What makes bean pod to have very small seeds Poor fertility and diseases and pests attack,make bean pod small seed poor fertility disease pest attack,3
beans,What makes bean seedlings to dry,lack of water and diseases,What makes bean seedlings to dry lack of water and diseases,make bean seedling dry lack water disease,3
beans,What makes bean seeds not to germinate well?,"The main reason for failure is a non viable (embryo destroyed, seed young or dormant etc) seed or lack of right germination conditions.","What makes bean seeds not to germinate well? The main reason for failure is a non viable (embryo destroyed, seed young or dormant etc) seed or lack of right germination conditions.",make bean seed germinate well main reason failure non viable embryo destroyed seed young dormant etc seed lack right germination condition,3
beans,What makes bean seeds to rot inside the pod,Diseases such as sclerotioum and rots and a lot of rain,What makes bean seeds to rot inside the pod Diseases such as sclerotioum and rots and a lot of rain,make bean seed rot inside pod disease sclerotioum rot lot rain,3
beans,What makes beans not to germinate well?,"The main reason for failure is a non viable (embryo destroyed, seed young or dormant etc) seed or lack of right germination conditions.","What makes beans not to germinate well? The main reason for failure is a non viable (embryo destroyed, seed young or dormant etc) seed or lack of right germination conditions.",make bean germinate well main reason failure non viable embryo destroyed seed young dormant etc seed lack right germination condition,3
beans,What makes beans to have a bitter taste,Weevils,What makes beans to have a bitter taste Weevils,make bean bitter taste weevil,3
beans,What makes beans to have very few seeds in the pod?,Poor soils drought and diseases,What makes beans to have very few seeds in the pod? Poor soils drought and diseases,make bean seed pod poor soil drought disease,3
beans,What makes beans to rot in pod?,Pathogens and stressful environments like drought in your garden,What makes beans to rot in pod? Pathogens and stressful environments like drought in your garden,make bean rot pod pathogen stressful environment like drought garden,3
beans,What makes beans to yield less seeds in the pod,Poor varieties and stresses like pests,What makes beans to yield less seeds in the pod Poor varieties and stresses like pests,make bean yield less seed pod poor variety stress like pest,3
cassava,What makes cassava bitter,Hydrogen cyanide,What makes cassava bitter Hydrogen cyanide,make cassava bitter hydrogen cyanide,4
cassava,What makes cassava fails to germinate,Dormant nodes or dry nodes,What makes cassava fails to germinate Dormant nodes or dry nodes,make cassava fails germinate dormant node dry node,4
cassava,What makes cassava root tuber to be very hard to eat,When it is so old,What makes cassava root tuber to be very hard to eat When it is so old,make cassava root tuber hard eat old,0
cassava,What makes cassava roots to become black,When it is affected by Cassava brown streak disease,What makes cassava roots to become black When it is affected by Cassava brown streak disease,make cassava root become black affected cassava brown streak disease,0
cassava,What makes cassava stem cutting nodes rot,Bacterial attack,What makes cassava stem cutting nodes rot Bacterial attack,make cassava stem cutting node rot bacterial attack,0
cassava,What makes cassava stem to rot,Poor storage,What makes cassava stem to rot Poor storage,make cassava stem rot poor storage,0
cassava,What makes cassava to dry starting from the tip?,Several factors but mainly diseases such as cassava bacterial blight or attack by green mites,What makes cassava to dry starting from the tip? Several factors but mainly diseases such as cassava bacterial blight or attack by green mites,make cassava dry starting tip several factor mainly disease cassava bacterial blight attack green mite,0
cassava,What makes cassava to have very less weight,Poor growing conditions,What makes cassava to have very less weight Poor growing conditions,make cassava less weight poor growing condition,4
cassava,What makes cassava to rot?,"Cassava brown streak disease, water logging etc","What makes cassava to rot? Cassava brown streak disease, water logging etc",make cassava rot cassava brown streak disease water logging etc,0
cassava,What makes cassava to taste bitter?,Hydrogen cyanide is the poison that causes cassava to be bitter,What makes cassava to taste bitter? Hydrogen cyanide is the poison that causes cassava to be bitter,make cassava taste bitter hydrogen cyanide poison cause cassava bitter,0
cassava,What makes cassava to yield less or small root tubers?,"Low yield (small tubers) is due to effect of pests/disease, lack of nutrients and other poor management practices","What makes cassava to yield less or small root tubers? Low yield (small tubers) is due to effect of pests/disease, lack of nutrients and other poor management practices",make cassava yield less small root tuber low yield small tuber due effect pestsdisease lack nutrient poor management practice,0
cassava,What makes cassava to yield less root tuber,"low nutrient availability, diseases and pests","What makes cassava to yield less root tuber low nutrient availability, diseases and pests",make cassava yield less root tuber low nutrient availability disease pest,0
cassava,What makes cassava to yield very many root tuber but small,Mainly poor environmental factors like drought,What makes cassava to yield very many root tuber but small Mainly poor environmental factors like drought,make cassava yield many root tuber small mainly poor environmental factor like drought,0
cassava,What makes cassava to yield very many root tuber but small ones,Poor fertility and diseases and pests attack,What makes cassava to yield very many root tuber but small ones Poor fertility and diseases and pests attack,make cassava yield many root tuber small one poor fertility disease pest attack,0
beans,What makes fails beans to germinate?,"The main reason for failure is a non viable (embryo destroyed, seed young or dormant etc) seed or lack of right germination conditions.","What makes fails beans to germinate? The main reason for failure is a non viable (embryo destroyed, seed young or dormant etc) seed or lack of right germination conditions.",make fails bean germinate main reason failure non viable embryo destroyed seed young dormant etc seed lack right germination condition,3
maize,What makes maize flour to taste bitter?,Aflatoxins,What makes maize flour to taste bitter? Aflatoxins,make maize flour taste bitter aflatoxin,4
maize,What makes maize leaves to become white?,Lack of nutrients mainly,What makes maize leaves to become white? Lack of nutrients mainly,make maize leaf become white lack nutrient mainly,4
maize,What makes maize less yielding?,Poor seeds and poor soils,What makes maize less yielding? Poor seeds and poor soils,make maize less yielding poor seed poor soil,2
maize,What makes maize plant fail to have a cob?,Poor soil fertility,What makes maize plant fail to have a cob? Poor soil fertility,make maize plant fail cob poor soil fertility,2
maize,What makes maize plant less yielding,"low nutrient availability, diseases and pests","What makes maize plant less yielding low nutrient availability, diseases and pests",make maize plant less yielding low nutrient availability disease pest,4
maize,What makes maize plant to grow weaker?,Lack of nitrogen,What makes maize plant to grow weaker? Lack of nitrogen,make maize plant grow weaker lack nitrogen,4
maize,What makes maize plant to yield very small grains,Poor fertility and diseases and pests attack,What makes maize plant to yield very small grains Poor fertility and diseases and pests attack,make maize plant yield small grain poor fertility disease pest attack,3
maize,What makes maize seeds to be very small?,Poor soil fertility and diseases,What makes maize seeds to be very small? Poor soil fertility and diseases,make maize seed small poor soil fertility disease,2
maize,What makes maize stem to rot,"Soil borne pathogens such fusarium, Pythium etc","What makes maize stem to rot Soil borne pathogens such fusarium, Pythium etc",make maize stem rot soil borne pathogen fusarium pythium etc,2
maize,What makes maize taste bitter,Aflatoxins,What makes maize taste bitter Aflatoxins,make maize taste bitter aflatoxin,4
maize,What makes maize to taste bitter?,Hydrogen cyanide,What makes maize to taste bitter? Hydrogen cyanide,make maize taste bitter hydrogen cyanide,4
maize,What makes maize to yield very small grains,Poor fertility and diseases and pests attack,What makes maize to yield very small grains Poor fertility and diseases and pests attack,make maize yield small grain poor fertility disease pest attack,3
maize,What makes my Maize plants to break from the middle of the stem?,Deficiency of nutrients such as Nitrogen,What makes my Maize plants to break from the middle of the stem? Deficiency of nutrients such as Nitrogen,make maize plant break middle stem deficiency nutrient nitrogen,4
beans,What makes my bean seeds to rot inside the pod?,Diseases especially rusts,What makes my bean seeds to rot inside the pod? Diseases especially rusts,make bean seed rot inside pod disease especially rust,3
cassava,What makes my cassava leaves have brown spots.,Brown streak disease,What makes my cassava leaves have brown spots. Brown streak disease,make cassava leaf brown spot brown streak disease,0
maize,What makes my maize leaves have white colored spots?,Cercspora leaf spot disease,What makes my maize leaves have white colored spots? Cercspora leaf spot disease,make maize leaf white colored spot cercspora leaf spot disease,0
maize,What makes my maize seed not to germinate well,Poor seed viability,What makes my maize seed not to germinate well Poor seed viability,make maize seed germinate well poor seed viability,3
cassava,What makes older cassava leaves yellow,Sometimes sunshine sometimes diseases like CBSD,What makes older cassava leaves yellow Sometimes sunshine sometimes diseases like CBSD,make older cassava leaf yellow sometimes sunshine sometimes disease like cbsd,0
cassava,What makes some cassava tubers bitter when cooked?,Hydrogen cyanide is the poison that causes cassava to be bitter,What makes some cassava tubers bitter when cooked? Hydrogen cyanide is the poison that causes cassava to be bitter,make cassava tuber bitter cooked hydrogen cyanide poison cause cassava bitter,0
cassava,What makes starch in Crops like cassava,Photosynthesis,What makes starch in Crops like cassava Photosynthesis,make starch crop like cassava photosynthesis,4
beans,What makes the Bean leaves to have brown spots on it?,Bean rust,What makes the Bean leaves to have brown spots on it? Bean rust,make bean leaf brown spot bean rust,3
beans,What makes the bean pod to have very small seeds?,Poor fertility and diseases and pests attack,What makes the bean pod to have very small seeds? Poor fertility and diseases and pests attack,make bean pod small seed poor fertility disease pest attack,3
beans,What makes the roots of beans to rot?,Pathogens and stressful environments like drought in your garden,What makes the roots of beans to rot? Pathogens and stressful environments like drought in your garden,make root bean rot pathogen stressful environment like drought garden,3
beans,What makes the roots of my beans to rot,Pathogens and stressful environments like drought in your garden,What makes the roots of my beans to rot Pathogens and stressful environments like drought in your garden,make root bean rot pathogen stressful environment like drought garden,3
beans,What measures taken to control bean weevils in the store,Use insecticides,What measures taken to control bean weevils in the store Use insecticides,measure taken control bean weevil store use insecticide,1
general,What measures taken to solve termite effects?,Use termiticides and harvest early,What measures taken to solve termite effects? Use termiticides and harvest early,measure taken solve termite effect use termiticides harvest early,4
maize,What measures taken to suppress green mite in maize plants,Good cropping cycle,What measures taken to suppress green mite in maize plants Good cropping cycle,measure taken suppress green mite maize plant good cropping cycle,4
maize,What method can I use for planting my maize in hilly area?,Use terraces and plant in lines,What method can I use for planting my maize in hilly area? Use terraces and plant in lines,method use planting maize hilly area use terrace plant line,1
cassava,What method can a farmer use to dry cassava?,Dry your produce on tarpaulines or cement floor away from dust and grit that would contaminate them,What method can a farmer use to dry cassava? Dry your produce on tarpaulines or cement floor away from dust and grit that would contaminate them,method farmer use dry cassava dry produce tarpaulines cement floor away dust grit would contaminate,4
maize,What method used for drying maize apart from sun drying,Hot air drying,What method used for drying maize apart from sun drying Hot air drying,method used drying maize apart sun drying hot air drying,4
cassava,"What my Cassava plants have red, Orange spots?",Diseased with CBSD,"What my Cassava plants have red, Orange spots? Diseased with CBSD",cassava plant red orange spot diseased cbsd,4
beans,What organic fertilizer is suitable for planting beans?,Farm yard Manure,What organic fertilizer is suitable for planting beans? Farm yard Manure,organic fertilizer suitable planting bean farm yard manure,4
